moment,block,measure,estimate,se,n_obs,n_clusters,n_clusters_system
k0_complete,kappa_0,"share completing a bachelor's or higher by age 25, on CF",.3226272103933598,.0114671914681807,2771,1232,1481
kth_ga17_t1_c,kappa_theta,completion by tertile 1 of g_ACH within A17,.1132075471698113,.0304247216881576,106,98,1481
kth_ga17_t2_c,kappa_theta,completion by tertile 2 of g_ACH within A17,.2452830188679245,.0417844402398463,106,98,1481
kth_ga17_t3_c,kappa_theta,completion by tertile 3 of g_ACH within A17,.6285714285714286,.0479042398846869,105,97,1481
kth_ga17_gap,kappa_theta,"mean ln(g_ACH) among completers minus non-completers, A17",.0311661522976987,.0031387526024571,317,275,1481
kth_ga17_mean_c,kappa_theta,"mean ln(g_ACH) among completers, A17",6.284338172223236,.0024158979377327,104,96,1481
kth_ga17_mean_n,kappa_theta,"mean ln(g_ACH) among non-completers, A17",6.253172019925537,.002208280259068,213,191,1481
kpe_g0_c,kappa_ParEd,"completion, both parents observed below 16 years",.2107657316148597,.0127959401647326,1319,713,1481
kpe_g1_c,kappa_ParEd,"completion, at least one parent with 16+ years",.6013143483023001,.0184297331941036,913,548,1481
kpe_gu_c,kappa_ParEd,"completion, one parent unobserved and the other below 16",.1254752851711027,.0140766027158198,526,313,1481
kterm_x_strict,kappa_term,"mean parental net worth excl. home, strict terminal, 2015 USD",429803.0562628839,78056.38103541158,737,486,1481
sd_ga17,sigma_eta,sample SD of ln(g_ACH) on A17,.0329082252814275,.001865510217731,317,275,1481
kse_w_gap,sigma_eps,"mean W99 among completers minus non-completers, W, 10,000 USD",36.84306749307406,7.490057588751506,665,448,1481
k0_w_c,sigma_eps,completion on W,.393984962406015,.0223148127895681,665,448,1481
kse_w_t1_c,sigma_eps,completion by wealth tertile 1 of W99 within W,.2072072072072072,.0292846607181791,222,166,1481
kse_w_t2_c,sigma_eps,completion by wealth tertile 2 of W99 within W,.3574660633484163,.0340001945309597,221,174,1481
kse_w_t3_c,sigma_eps,completion by wealth tertile 3 of W99 within W,.6171171171171171,.0383066260697413,222,160,1481
sd_ga_age3,sigma_eta,"sample SD of ln(g_ACH), CDS panel, child age 3",.0826982629343491,.0093758413433591,20,19,1825
sd_ga_age4,sigma_eta,"sample SD of ln(g_ACH), CDS panel, child age 4",.0529263776311657,.0049723885540323,44,44,1825
sd_ga_age5,sigma_eta,"sample SD of ln(g_ACH), CDS panel, child age 5",.0441067637198373,.005670404813059,35,34,1825
sd_ga_age6,sigma_eta,"sample SD of ln(g_ACH), CDS panel, child age 6",.0535756741758639,.0051624943487489,40,40,1825
sd_ga_age7,sigma_eta,"sample SD of ln(g_ACH), CDS panel, child age 7",.0594980339834969,.0071093096164202,43,42,1825
sd_ga_age8,sigma_eta,"sample SD of ln(g_ACH), CDS panel, child age 8",.0450891651796872,.0069823501619828,41,41,1825
sd_ga_age9,sigma_eta,"sample SD of ln(g_ACH), CDS panel, child age 9",.0310040351218868,.0049632627815585,29,27,1825
sd_ga_age10,sigma_eta,"sample SD of ln(g_ACH), CDS panel, child age 10",.0225803811047117,.0016523857881327,44,44,1825
sd_ga_age11,sigma_eta,"sample SD of ln(g_ACH), CDS panel, child age 11",.0296962132531478,.0027329951541264,46,45,1825
sd_ga_age12,sigma_eta,"sample SD of ln(g_ACH), CDS panel, child age 12",.0286931089451192,.00492328782186,57,57,1825
sd_ga_age13,sigma_eta,"sample SD of ln(g_ACH), CDS panel, child age 13",.0276435946953199,.0026604859745102,61,61,1825
sd_ga_age14,sigma_eta,"sample SD of ln(g_ACH), CDS panel, child age 14",.0211690262805563,.0024723294447063,62,62,1825
sd_ga_age15,sigma_eta,"sample SD of ln(g_ACH), CDS panel, child age 15",.0218911753348426,.0017981152626894,79,78,1825
sd_ga_age16,sigma_eta,"sample SD of ln(g_ACH), CDS panel, child age 16",.0301275793253107,.0023062180171938,108,106,1825
sd_ga_age17,sigma_eta,"sample SD of ln(g_ACH), CDS panel, child age 17",.0313329175051923,.0028847823994483,92,87,1825
