# Parental net worth by child age, in MODEL UNITS (10k USD).
# GENERATED by tools/make_smm_targets.py from SMM_Assets_ByChildAge.dta -- do not edit by hand.
#
# ONE ROW PER TWO-YEAR BIN of child age: [age_lo, age_hi]. child_age == age_lo.
# a_p_*       EXCLUDES home equity -- the concept the model can be compared to,
#             for the same reason consumption uses cons_exhous_real.
# a_p_home_*  INCLUDES it, carried so the choice stays visible.
#
# READ THE MEDIAN, NOT THE MEAN. The distribution is severely right-skewed, so
# a_p_md describes a typical household and a_p_mu does not. Compare the model's
# simulated spread against p10-p90, not against the mean alone.
#
# The parent block only covers t = 1..17 and age 18 is the handoff where sim_a
# becomes the child's initial assets.
child_age,age_lo,age_hi,n,a_p_mu,a_p_sd,a_p_p10,a_p_p25,a_p_md,a_p_p75,a_p_p90,a_p_home_mu,a_p_home_sd,a_p_home_p10,a_p_home_p25,a_p_home_md,a_p_home_p75,a_p_home_p90
0,0,1,694,4.917364,18.874194,-2.894006,-0.134260,1.446618,4.656881,12.050000,8.434518,21.096741,-2.364263,0.380100,3.602707,9.947459,21.356127
2,2,3,802,9.234284,70.943149,-2.995509,0.000000,1.691821,5.081433,14.833152,13.409445,71.923357,-2.331572,0.400000,4.071733,11.959229,25.705587
4,4,5,807,12.663428,87.467029,-2.695122,0.000000,1.957710,6.053946,19.651819,18.275886,89.804114,-1.525684,0.855000,5.191603,14.900000,33.565047
6,6,7,762,10.148810,42.248805,-2.392272,0.078404,2.038998,6.772661,25.679894,16.225699,45.394843,-1.437398,0.927072,5.449530,15.940863,42.270155
8,8,9,717,12.580703,39.621439,-2.209254,0.261345,2.503094,9.730503,33.572495,20.350906,47.678320,-0.724612,1.718365,7.606661,20.706577,49.069170
10,10,11,668,16.626513,75.640498,-2.000000,0.238014,2.492720,10.637610,33.476841,24.748065,78.663633,-0.784035,1.536074,8.977050,22.909402,54.863596
12,12,13,643,21.699933,104.140855,-1.368411,0.610274,3.295477,11.351089,36.800000,30.927789,108.292906,-0.061027,2.807259,10.336200,24.378016,56.014447
14,14,15,625,21.007722,150.055267,-1.345708,0.671301,3.481268,13.539776,36.431870,30.677757,156.659400,0.061027,3.005469,10.895083,25.500000,56.877498
16,16,17,609,35.575540,337.813269,-0.895554,0.809597,3.264200,13.108423,42.677370,46.260698,344.281410,0.000000,3.319584,11.473143,28.147266,65.597631
18,18,19,575,29.605263,250.253254,-1.021414,0.797103,3.675336,14.732901,48.373428,40.620199,258.591326,0.250000,3.724168,12.197386,29.666753,69.285920
20,20,21,505,31.741932,248.590895,-0.537332,0.912612,4.119549,17.000000,55.624319,43.614925,256.483263,0.815045,4.521608,12.840156,33.977324,82.626118
22,22,23,430,36.093226,190.864444,-0.676687,0.818708,4.185585,19.711837,58.692528,49.383191,202.003626,0.498705,4.885198,14.182417,38.050000,87.746632
24,24,25,363,39.800313,220.544747,0.000000,1.332327,5.302211,22.092545,73.944750,54.981440,230.337451,1.000000,6.315744,16.694619,41.716529,95.812953
26,26,27,301,49.147126,285.109900,0.116579,1.525684,5.900000,24.119227,82.416699,64.778481,296.212182,1.021414,7.401394,19.197041,40.278057,109.238972
28,28,29,256,48.210417,233.304687,0.000000,1.206094,4.885955,30.838621,96.532946,63.361176,245.259039,1.000000,6.140720,17.000338,50.129164,119.125404
30,30,31,110,60.452881,336.238390,0.327677,1.465559,7.778431,29.415187,78.551762,77.358788,350.627459,0.911539,7.435117,18.488798,58.486536,102.396710
