# Per-child-age data means for the baseline figure. Sample: cohort_dad2530: father aged 25-30 at the child's birth.
# GENERATED by tools/make_smm_targets.py from SMM_Moments_ByAge_Cohort.dta -- do not edit by hand.
# c_p, e_p, a_p: model units (10k USD/yr). a_p EXCLUDES home equity.
# h_p, t_p, i_c: share of the 112h week.
# x_gach / x_lw: LOG human capital (PCA composite / Letter-Word), comparable
#   to log(model hc) up to an ADDITIVE constant log(M).
child_age,c_p,e_p,a_p,h_p,t_p,i_c,x_gach,x_lw
1,2.694313,0.334786,3.734623,0.298087,0.536263,0.006478,,
2,2.801462,0.356352,8.287325,0.300282,0.539490,0.011528,,
3,2.609761,0.346169,3.040151,0.303291,0.504856,0.010910,5.901548,5.826531
4,2.875963,0.340257,3.630459,0.308911,0.529167,0.015312,5.956402,5.896708
5,2.378263,0.316800,3.078054,0.308219,0.438653,0.020685,6.040004,5.989450
6,2.728504,0.261361,6.473780,0.310309,0.474920,0.024485,6.079985,6.047739
7,2.773441,0.261109,4.227366,0.311455,0.414211,0.051562,6.150064,6.138469
8,2.932252,0.250630,7.117936,0.311825,0.408654,0.032795,6.174657,6.169663
9,2.821995,0.210757,8.238519,0.318722,0.402289,0.062614,6.199831,6.202457
10,3.002706,0.213577,8.743747,0.314682,0.322479,0.033789,6.213131,6.212180
11,2.700604,0.192979,9.143268,0.310038,0.443366,0.053571,6.225099,6.220899
12,2.649638,0.151715,14.120868,0.296767,0.402204,0.080478,6.230682,6.229550
13,2.889647,0.218194,5.324827,0.301399,0.386283,0.034708,6.243707,6.255611
14,3.066377,0.232508,12.317420,0.313517,0.285408,0.026873,6.256709,6.267903
15,3.147566,0.323149,15.643391,0.319305,0.315232,0.032112,6.262775,6.264208
16,3.477267,0.439145,71.041981,0.322969,0.252218,0.027916,6.268763,6.276585
17,3.472594,0.519644,20.839917,0.324597,0.282001,0.049550,6.263946,6.276130
