moment,phi_2,phi_3,lambda_2,R_0,sigma_1_0,sigma_1_1,sigma_2_0,sigma_2_1,sigma_4_0,mu_1
mean_c_p,-0.81297931928926848,-1.2901675363061313,-0.23040032067095165,0.31117349261237515,-0.98105410590937903,-0.43552374262699894,-0.11816682628530278,-0.017669110348301348,0.0023743068198557593,-0.088273782412252866
mean_h_p,-1.7051923698117006,-2.0017734581736959,-0.53180334488366066,-1.1701673288121188,-1.6966860067924503,-0.80060062674755894,0.16179039043115115,0.025967836817648166,0.084157928081972366,-0.38453658509244593
mean_t_p_early,-1.1840443898089343,2.8125289249150573,0.20506747419200963,0.2433468607478895,1.9055213467310821,0.37105322208078884,-0.10118784787129642,-0.013466467410057621,-0.028744348134462829,0.066897011369847173
mean_t_p_late,-0.70037571872835214,1.5070454069237433,1.0542263065426556,1.7397471532398261,1.8454801745870344,1.6018007991600649,-0.055761220578483262,-0.011130526410850494,-0.13590271806582024,0.80522365749128511
mean_e_p_early,-1.0133852403083581,3.5399256294872834,0.27101823870479719,0.39607855077126325,-1.3247094469114971,-0.5078787652189336,4.2177325014826001,0.3586925339947673,-0.0076042765948871292,-0.079576668347965368
mean_e_p_late,-0.82466681537945141,1.5052520812986139,1.2447508012839805,3.0667676109051469,-1.1922314136678336,-0.80090717874668338,3.7756963381179571,1.0918901822391394,-0.12148049341992803,0.15271211162033033
mean_i_c_early,1.5661568198219735,4.7536818810657469,1.0531690255270454,-0.44092279221048525,-3.4107306467505984,-1.2135768527803514,0.1318648991808502,0.025775917189868602,9.1443912657480926,8.6611421471734218
mean_i_c_late,0.38018139119710281,2.4905159511667896,1.3009496957447353,1.4364737424864271,-1.1053231510393668,-1.0487114795959123,0.043466274720103254,0.0040746418004701523,4.8163929035814377,4.6447473148371641
mean_hc_early,-1.0468187225518566,2.5591025950422619,0.11285814942225691,6.8481908327740371,-0.89074556568016217,-0.33297900317597051,-0.11594690575016386,-0.01386210690137446,-0.059067386889588569,0.037676580166623445
mean_hc_late,-0.60443386319619652,1.5518028967958619,0.84178524549927136,7.4379962329151006,-1.4433596255041259,-0.99612481129398578,-0.09189807691736275,-0.019847422342356147,-0.27615490473267279,0.49825963989615918
