moment,phi_2,phi_3,lambda_2,R_0,sigma_1_0,sigma_1_1,sigma_2_0,sigma_2_1,sigma_4_0
mean_c_p,-0.81016869233834921,-1.2944904748942054,-0.23006088932096824,0.32637670039033506,-0.96948655732406464,-0.43699001191387504,-0.11833228213427444,-0.021200760330079838,0.00463457006202872
mean_h_p,-1.7055833294672058,-2.0364129315265282,-0.53414226880302285,-1.194414384969515,-1.6837284812672999,-0.80055391844601609,0.16129035680528675,0.022663631920555316,0.085673682159907727
mean_t_p_early,-1.1839681667701811,2.8484514523774394,0.20561510441065173,0.24822601082660201,1.9055578340998216,0.37141603442846488,-0.10042758360574591,-0.012816130275769555,-0.028852934896751031
mean_t_p_late,-0.70342587363669695,1.5322378751855936,1.0621818748555931,1.7675912036130141,1.8112540614427699,1.5974230985147413,-0.056083241015984775,-0.0087393939066121584,-0.1382619425924228
mean_e_p_early,-1.0146214684533954,3.5966905703384477,0.27043995756002304,0.40074854845144314,-1.3348637130052594,-0.50464616826576003,4.2179748051085086,0.35941150187444904,-0.010161433624082498
mean_e_p_late,-0.82571912530525626,1.5240793771450594,1.2514419421067873,3.0459099773547327,-1.2263630202874478,-0.79763322098398559,3.7867076372095361,1.0850703245762081,-0.13459202600434872
mean_i_c_early,1.5613791202631067,4.8023529695086165,1.0380619270786151,-0.42132621191783842,-3.4622576559986906,-1.2140434428662972,0.12874445845642013,0.027432393089110718,9.1517289521453105
mean_i_c_late,0.37691182244276727,2.5424149196819967,1.3028964395312495,1.4578132062189677,-1.1484558476342264,-1.053797135541261,0.042818554976155339,0.0074943832189602877,4.809828915365272
mean_hc_early,-1.0448825187220123,2.5734474799905094,0.11283691898822389,6.8455520596500286,-0.88715434783446234,-0.33135469065852519,-0.11563414574169428,-0.013327161271181609,-0.059220123979653039
mean_hc_late,-0.60775442270757374,1.5963355950011862,0.84856938354982425,7.4680550807562529,-1.4749629493428171,-1.0009841169372535,-0.091859938656080331,-0.018178144090130743,-0.27808490947185405
