moment,target,simulated,raw_residual,scale,scaled_residual,Q_contribution,Q_share
mean_c_p,3.115533,3.2870410888191732,0.17150808881917312,3.115533,0.05504935714664974,0.003030431722259397,0.012120459464020523
mean_h_p,0.307292,0.3072774142882759,-1.4585711724135475e-5,0.307292,-4.746531547887831e-5,2.252956173509445e-9,9.010882434558485e-9
mean_t_p_early,0.454449,0.524411606918344,0.069962606918344,0.454449,0.15395040349597863,0.02370072673657463,0.09479299453224613
mean_t_p_late,0.333317,0.3202336426851904,-0.013083357314809585,0.333317,-0.039251995292198076,0.0015407191344187399,0.006162232158868835
mean_e_p_early,0.342896,0.2924640644681833,-0.050431935531816685,0.342896,-0.14707647663378018,0.021631489979006886,0.08651691292402493
mean_e_p_late,0.391094,0.43595245849580155,0.044858458495801556,0.391094,0.11469994041279477,0.01315607633069867,0.05261880302417979
mean_i_c_early,0.03929,0.05116366407430283,0.011873664074302834,0.05,0.23747328148605668,0.056393559419755906,0.2255506520600226
mean_i_c_late,0.049594,0.031892355602683956,-0.017701644397316044,0.05,-0.3540328879463209,0.1253392857476122,0.5013047220283757
mean_hc_early,6.073689,6.019216145529162,-0.05447285447083772,1.0,-0.05447285447083772,0.0029672918742010648,0.011867926478923319
mean_hc_late,6.250776,6.29838439281867,0.047608392818669465,1.0,0.047608392818669465,0.0022665590667767382,0.009065288318455681
