case,Q,delta_Q,seconds,invalid,mean_c_p,mean_h_p,mean_t_p_early,mean_t_p_late,mean_e_p_early,mean_e_p_late,mean_i_c_early,mean_i_c_late,mean_hc_early,mean_hc_late,error
R_1=-1.0,0.4386310469900696,0.1886049047258092,10.797638177871704,0,3.1877926139847452,0.32625359574654283,0.5101499161181412,0.30577077651340334,0.2795784186616425,0.4066838544533988,0.052658954369419676,0.031728777139017214,5.876716570132727,5.8782306590890165,
R_1=-0.5,0.28556986066520035,0.03554371840093995,11.053189039230347,0,3.238639946717201,0.3162593001335461,0.5177678243334457,0.31337250508169023,0.2862534636608938,0.42177064010511345,0.05187981453309311,0.03185334473956018,5.950358524074409,6.101713998348812,
R_1=0.5,0.29827908795807584,0.04825294569381544,10.797583103179932,0,3.330356607419849,0.29943392006026953,0.5298680073639813,0.3266453882605886,0.297864721925231,0.4500118959678562,0.050565595290246824,0.03196467043565327,6.083105504836885,6.473767131480971,
R_1=1.0,0.4081635320880598,0.15813738982379938,11.826410055160522,0,3.3635851765641265,0.29276273406957504,0.5336791213055486,0.3335111499972203,0.30194929595354864,0.46555000087395393,0.050142838874035034,0.03218542889562385,6.141705128930821,6.6325167638588285,
sigma_4_1=0.0,0.3065049643906979,0.05647882212643751,9.880763053894043,0,3.2871609610562875,0.30703461451418596,0.5244951868813535,0.320674037760379,0.2924605941730959,0.43612044731264177,0.04917157996216601,0.027293178842816963,6.019395709739455,6.300248623863174,
sigma_4_1=0.01,0.27714263380502696,0.027116491540766563,9.851099014282227,0,3.2871081822657886,0.30715106642077317,0.5244541933738215,0.32046164883538747,0.29244970592447117,0.43602843075709213,0.0501565848089829,0.02950053478611643,6.019306103839721,6.299340970058817,
sigma_4_1=0.03,0.2261788558909988,-0.02384728637326161,9.55824613571167,0,3.286922901777722,0.30741004345480416,0.5243664676766329,0.3199924692393944,0.2924445694874486,0.4358699888057341,0.0521972806597292,0.03448278278683867,6.0191203888908715,6.297379045638447,
sigma_4_1=0.04,0.2068501625723273,-0.0431759796919331,10.102413177490234,0,3.286832274526457,0.30755825263296327,0.5243137123589401,0.3197218766517264,0.2924409630067096,0.4358135980936865,0.05325943968008805,0.037277201827126814,6.019014997490101,6.296311505882884,
sigma_4_1=0.08,0.20483575973102383,-0.04519038253323657,9.50756311416626,0,3.2865185123817775,0.3082821216498083,0.5241049445058402,0.3183794195560545,0.2923757864906004,0.4354958770092553,0.05774574022050274,0.05099031255098808,6.018592737825274,6.2914388965661265,
sigma_4_1=0.12,0.44745271729511865,0.19742657503085825,9.369810819625854,0,3.285797523891306,0.30923151008159105,0.5238504509299879,0.31657528579994976,0.2923162607111206,0.43518007513478263,0.06268415157359188,0.06965059577998667,6.018107702640635,6.285494107879935,
