case,Q,delta_Q,invalid,seconds,mean_c_p,mean_h_p,mean_t_p_early,mean_t_p_late,mean_e_p_early,mean_e_p_late,mean_i_c_early,mean_i_c_late,mean_hc_early,mean_hc_late,asset_hh_above,hc_hh_above,error
fitted,0.011580631181773578,0.0,0,10.837776184082031,3.231570766333815,0.3012634489922489,0.47411021036589257,0.3307480064340385,0.3360232493434537,0.39952047991555734,0.38924823762092625,0.3680283980760582,6.064588589029446,6.254203486245433,0.001,0.0,
sigma_2_1=-0.11,0.02289719394943935,0.011316562767665772,0,9.289680004119873,3.2376923884828797,0.3003361879004231,0.47491773654083014,0.3311106183684542,0.32182333840678085,0.3558867359964789,0.3887660107173791,0.36772978908653015,6.065760836054972,6.254275795727421,0.001,0.0,
sigma_2_1=-0.125,0.08092042396938345,0.06933979278760988,0,9.322134971618652,3.2462857943679735,0.2991123408403389,0.4759812793129767,0.33158677584559776,0.30185542549174393,0.2992832440912877,0.3881187042176626,0.367349621948763,6.067366117106271,6.254588270665115,0.001,0.0,
sigma_2_1=-0.15,0.23641907784148747,0.2248384466597139,0,9.752319097518921,3.257855478423402,0.29739183662272434,0.4774624003998118,0.33227298144624623,0.2718963310111107,0.22458039077252628,0.3872385565750914,0.3668040114955152,6.0697818026926145,6.2554798287849644,0.001,0.0,
sigma_4_1=0.03,0.010789139087932324,-0.0007914920938412538,0,9.242212057113647,3.235790129993353,0.30300050849077736,0.4739826853051367,0.3262982660737043,0.33670548170893705,0.4002312331564753,0.39260242020605113,0.3836683818219652,6.064764699842379,6.249179777001763,0.001,0.0,
sigma_4_1=0.04,0.014000489975049414,0.002419858793275836,0,9.279795169830322,3.240379629727037,0.3048122968710657,0.47386995715233104,0.3216389527279759,0.33744449550957084,0.4009768505023812,0.39594617753098155,0.3995107043874381,6.064958541296868,6.243952806309504,0.001,0.0,
sigma_4_1=0.06,0.033166678641206274,0.021586047459432697,0,9.64089298248291,3.2499219866543667,0.30869459047850306,0.47363307206968464,0.31167580111600546,0.3389702144907723,0.40246729178206003,0.40262690173102417,0.4317210586828254,6.065372115454906,6.232854207747336,0.001,0.0,
R_1=-0.5,0.05732672328660512,0.04574609210483154,0,9.239206075668335,3.17996590114472,0.3100020187327658,0.4672923538024864,0.3257504907869047,0.32807810302355006,0.3881472522246554,0.3932438676638112,0.3676511969690662,5.99580447050509,6.05349546971119,0.001,0.0,
R_1=0.5,0.052197578221636204,0.04061694703986263,0,9.324132919311523,3.278102653974536,0.2934938835270683,0.47993956439453894,0.3355206580034193,0.34316006994909043,0.4107749391185318,0.38566414254850234,0.3686386916062189,6.129091286234175,6.43276222181193,0.001,0.0,
mu_1=-0.05,0.05865594833939971,0.04707531715762613,0,9.83018183708191,3.1572763945453106,0.29047803438556546,0.48861758934512445,0.3503157815926978,0.36193324924186904,0.4623251145448918,0.36234376026366166,0.3471442993493164,6.074316403605886,6.265565697313907,0.001,0.0,
mu_1=-0.03,0.07153961347613629,0.05995898229436271,0,9.060549020767212,3.320706126060999,0.31511682012533215,0.4570437511736244,0.30506411248843746,0.30951769014191266,0.3338252182787115,0.42493339486367276,0.39784276069501556,6.053324085426257,6.238324235059796,0.001,0.0,
money_pivot=-0.125,0.020364602281163675,0.008783971099390097,0,9.35023808479309,3.2309116490537773,0.30135669220677075,0.4740433072836525,0.33070218163164783,0.36605454757637096,0.36313894831811616,0.38928634426143194,0.3680854781875268,6.063611798118095,6.254094181799922,0.001,0.0,
money_pivot=-0.15,0.06238619210578097,0.05080556092400739,0,9.82317590713501,3.2293401252246774,0.30159724863249376,0.473846124874551,0.3306069720744953,0.40028808001384225,0.3308249239248854,0.38940179035246314,0.36819386748462,6.062896461858848,6.25403496790295,0.001,0.0,
asset_max=300,0.013012541321386023,0.0014319101396124446,0,10.192313194274902,3.2526340323326353,0.29763235427435597,0.47698595336180877,0.3330452813056986,0.33988980053094253,0.4053540981950379,0.3874253949856204,0.3684333488898522,6.068388925216331,6.25542615797198,0.0,0.0,
